Provincia                 | Sector                    | 1_P  | 2_P  | 3_P  | 4_P  | 5_P  | 6_P  | 1_NP | 2_NP | 3_NP | 4_NP | 5_NP | 6_NP | Egresados | Anio
Buenos Aires             | Estatal                   | 94   | 64   | 68   | 48   | 50   | 8    | 48   | 49   | 41   | 27   | 17   | 1    | 78        | 2019

Buenos Aires             | Estatal                   | 57   | 53   | 42   | 40   | 33   | 8    | 20   | 8    | 12   | 5    | 7    | 1    | 39        | 2019

Buenos Aires             | Estatal                   | 262  | 253  | 177  | 168  | 170  | 7    | 149  | 91   | 104  | 34   | 26   | 6    | 199       | 2019

Buenos Aires             | Privado                   | 102  | 109  | 104  | 83   | 84   | 0    | 8    | 9    | 3    | 10   | 11   | 0    | 111       | 2019

Buenos Aires             | Estatal                   | 3786 | 3099 | 2685 | 2351 | 1779 | 302  | 1956 | 1369 | 1443 | 930  | 1260 | 66   | 2891      | 2019

Buenos Aires             | Privado                   | 2908 | 2688 | 2334 | 2248 | 1958 | 77   | 492  | 418  | 433  | 268  | 914  | 32   | 2908      | 2019

Buenos Aires             | Estatal                   | 189  | 143  | 96   | 76   | 62   | 0    | 54   | 10   | 8    | 11   | 20   | 0    | 80        | 2019

