Provincia                 | Sector                    | 1_P  | 2_P  | 3_P  | 4_P  | 5_P  | 6_P  | 1_NP | 2_NP | 3_NP | 4_NP | 5_NP | 6_NP | Egresados | Anio
Buenos Aires             | Estatal                   | 29   | 28   | 16   | 14   | 18   | 0    | 7    | 5    | 9    | 3    | 7    | 0    | 22        | 2019

Buenos Aires             | Estatal                   | 257  | 240  | 191  | 211  | 162  | 18   | 98   | 75   | 33   | 28   | 64   | 0    | 245       | 2019

Buenos Aires             | Privado                   | 100  | 86   | 71   | 66   | 69   | 0    | 19   | 15   | 4    | 2    | 12   | 0    | 103       | 2019

Buenos Aires             | Estatal                   | 53   | 56   | 50   | 37   | 43   | 3    | 10   | 10   | 2    | 3    | 3    | 1    | 48        | 2019

Buenos Aires             | Estatal                   | 296  | 280  | 213  | 162  | 141  | 29   | 44   | 31   | 49   | 33   | 36   | 18   | 212       | 2019

Buenos Aires             | Privado                   | 63   | 57   | 48   | 58   | 57   | 0    | 1    | 1    | 1    | 1    | 3    | 0    | 87        | 2019

Buenos Aires             | Estatal                   | 68   | 47   | 51   | 38   | 31   | 4    | 34   | 17   | 14   | 9    | 8    | 0    | 48        | 2019

Buenos Aires             | Estatal                   | 638  | 523  | 435  | 338  | 264  | 10   | 317  | 201  | 212  | 109  | 75   | 51   | 399       | 2019

Buenos Aires             | Privado                   | 163  | 168  | 150  | 107  | 94   | 0    | 25   | 6    | 16   | 14   | 36   | 0    | 145       | 2019

Buenos Aires             | Estatal                   | 37   | 32   | 25   | 24   | 25   | 15   | 27   | 10   | 9    | 9    | 13   | 7    | 63        | 2019

Buenos Aires             | Estatal                   | 770  | 704  | 620  | 516  | 487  | 58   | 408  | 333  | 277  | 177  | 184  | 14   | 719       | 2019

Buenos Aires             | Privado                   | 255  | 237  | 203  | 204  | 222  | 0    | 8    | 5    | 11   | 9    | 9    | 0    | 271       | 2019

Buenos Aires             | Estatal                   | 3    | 2    | 7    | 4    | 1    | 0    | 2    | 1    | 2    | 2    | 0    | 0    | 6         | 2019

Buenos Aires             | Estatal                   | 129  | 108  | 113  | 92   | 74   | 3    | 40   | 29   | 44   | 12   | 41   | 2    | 103       | 2019

Buenos Aires             | Estatal                   | 38   | 43   | 26   | 28   | 22   | 0    | 16   | 6    | 9    | 7    | 9    | 0    | 28        | 2019

Buenos Aires             | Estatal                   | 163  | 131  | 111  | 122  | 131  | 7    | 64   | 65   | 49   | 27   | 14   | 0    | 136       | 2019

Buenos Aires             | Estatal                   | 25   | 33   | 21   | 22   | 15   | 0    | 3    | 10   | 2    | 1    | 4    | 0    | 19        | 2019

Buenos Aires             | Estatal                   | 79   | 56   | 56   | 44   | 42   | 3    | 40   | 16   | 24   | 4    | 5    | 0    | 59        | 2019

Buenos Aires             | Estatal                   | 16   | 6    | 8    | 8    | 6    | 0    | 3    | 0    | 0    | 1    | 0    | 0    | 6         | 2019

Buenos Aires             | Estatal                   | 190  | 140  | 134  | 116  | 95   | 5    | 47   | 29   | 20   | 12   | 5    | 1    | 135       | 2019

Buenos Aires             | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Buenos Aires             | Estatal                   | 86   | 60   | 60   | 52   | 42   | 0    | 9    | 25   | 12   | 1    | 31   | 0    | 59        | 2019

Buenos Aires             | Estatal                   | 22   | 21   | 11   | 12   | 11   | 0    | 4    | 1    | 2    | 0    | 0    | 0    | 11        | 2019

Buenos Aires             | Estatal                   | 484  | 447  | 348  | 373  | 329  | 21   | 80   | 41   | 48   | 21   | 29   | 6    | 366       | 2019

