
--- DATOS 2019 ---
Buenos Aires | Estatal | 2019 | 1 anio | 19 | 88 | 2 anio | 18 | 72 | 3 anio | 16 | 80 | 4 anio | 15 | 43 | 5 anio | 15 | 43 | 6 anio | 4 | 4

Buenos Aires | Privado | 2019 | 1 anio | 4 | 1 | 2 anio | 4 | 1 | 3 anio | 4 | 6 | 4 anio | 4 | 4 | 5 anio | 4 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 2 | 2 anio | 1 | 2 | 3 anio | 1 | 2 | 4 anio | 1 | 1 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 14 | 37 | 2 anio | 13 | 31 | 3 anio | 11 | 29 | 4 anio | 10 | 20 | 5 anio | 8 | 5 | 6 anio | 2 | 1

Buenos Aires | Estatal | 2019 | 1 anio | 168 | 858 | 2 anio | 162 | 645 | 3 anio | 161 | 660 | 4 anio | 155 | 475 | 5 anio | 146 | 257 | 6 anio | 21 | 9

Buenos Aires | Privado | 2019 | 1 anio | 76 | 105 | 2 anio | 75 | 101 | 3 anio | 72 | 125 | 4 anio | 72 | 75 | 5 anio | 71 | 66 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 58 | 366 | 2 anio | 47 | 198 | 3 anio | 50 | 158 | 4 anio | 45 | 87 | 5 anio | 42 | 50 | 6 anio | 7 | 4

Buenos Aires | Privado | 2019 | 1 anio | 9 | 12 | 2 anio | 9 | 13 | 3 anio | 9 | 15 | 4 anio | 9 | 10 | 5 anio | 9 | 6 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 3 | 2 anio | 2 | 3 | 3 anio | 3 | 1 | 4 anio | 2 | 1 | 5 anio | 2 | 5 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 18 | 54 | 2 anio | 17 | 37 | 3 anio | 15 | 32 | 4 anio | 13 | 15 | 5 anio | 12 | 9 | 6 anio | 4 | 0

Buenos Aires | Privado | 2019 | 1 anio | 3 | 0 | 2 anio | 3 | 5 | 3 anio | 3 | 5 | 4 anio | 3 | 3 | 5 anio | 3 | 1 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 7 | 2 anio | 3 | 2 | 3 anio | 3 | 8 | 4 anio | 3 | 2 | 5 anio | 3 | 2 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 26 | 93 | 2 anio | 25 | 77 | 3 anio | 21 | 36 | 4 anio | 20 | 30 | 5 anio | 19 | 29 | 6 anio | 2 | 0

Buenos Aires | Privado | 2019 | 1 anio | 6 | 13 | 2 anio | 6 | 18 | 3 anio | 6 | 7 | 4 anio | 5 | 2 | 5 anio | 5 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 8 | 2 anio | 4 | 18 | 3 anio | 7 | 3 | 4 anio | 6 | 3 | 5 anio | 6 | 1 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 20 | 83 | 2 anio | 20 | 48 | 3 anio | 16 | 72 | 4 anio | 15 | 38 | 5 anio | 13 | 14 | 6 anio | 2 | 0

Buenos Aires | Privado | 2019 | 1 anio | 4 | 0 | 2 anio | 3 | 1 | 3 anio | 3 | 0 | 4 anio | 3 | 0 | 5 anio | 3 | 1 | 6 anio | 0 | 0

