provincia,sector,promovidos_8,promovidos_9,promovidos_10,promovidos_11,promovidos_12,promovidos_1314,nopromo_8,nopromo_9,nopromo_10,nopromo_11,nopromo_12,nopromo_1314,secundaria_egresados
Buenos Aires,Estatal,73,66,67,42,51,0,20,17,13,9,19,0,73
Buenos Aires,Estatal,193,166,148,179,121,7,91,74,40,16,52,0,164
Buenos Aires,Privado,75,56,63,60,53,0,7,7,5,5,26,0,69
Buenos Aires,Estatal,93,89,56,53,51,2,5,2,7,1,15,0,66
Buenos Aires,Estatal,334,266,262,247,203,31,128,94,80,36,37,1,306
Buenos Aires,Privado,110,112,85,90,85,0,2,1,1,4,5,0,114
Buenos Aires,Estatal,27,27,22,20,29,0,5,3,4,2,3,0,35
Buenos Aires,Estatal,121,105,85,88,70,4,19,13,21,5,23,4,97
Buenos Aires,Estatal,31,29,28,19,22,0,3,1,3,0,0,0,27
Buenos Aires,Estatal,30,34,30,26,28,2,2,9,17,6,6,2,39
Buenos Aires,Estatal,18,12,9,14,11,5,18,15,13,5,6,0,25
Buenos Aires,Estatal,71,77,58,42,53,3,8,8,15,5,4,1,58
Buenos Aires,Estatal,2901,2452,2520,2055,1816,64,1780,1137,1129,759,890,116,2566
Buenos Aires,Privado,2171,2108,1841,1881,1483,11,288,195,196,127,536,18,2112
Buenos Aires,Estatal,12,13,5,12,13,0,10,6,3,1,3,0,15
Buenos Aires,Estatal,222,194,111,119,86,60,244,145,132,62,63,4,140
Buenos Aires,Estatal,2014,1709,1424,1205,945,177,1418,892,885,501,649,53,1387
Buenos Aires,Privado,1240,1147,968,886,873,0,262,165,122,95,280,0,1263
Buenos Aires,Estatal,22,19,10,12,18,0,3,0,1,4,0,0,18
Buenos Aires,Estatal,208,179,168,126,107,14,38,54,33,30,29,5,141
Buenos Aires,Estatal,30,30,18,12,6,1,3,2,0,1,0,0,9
Buenos Aires,Estatal,472,419,402,301,259,11,182,101,93,54,79,6,321
Buenos Aires,Privado,293,258,239,228,150,0,24,26,27,2,51,0,222
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,1596,1487,1316,1169,1071,139,1012,663,591,377,463,54,1452
Buenos Aires,Privado,902,850,713,677,680,12,98,92,105,58,139,22,906
Buenos Aires,Estatal,25,38,16,16,9,0,9,11,4,2,3,0,15
Buenos Aires,Estatal,434,394,360,313,252,35,123,59,82,19,77,4,292
Buenos Aires,Privado,30,33,51,36,42,2,5,8,5,3,22,0,67
Buenos Aires,Privado,33,34,27,34,23,0,0,1,0,0,5,0,31
Buenos Aires,Estatal,52,39,62,26,19,3,12,5,8,2,5,0,24
Buenos Aires,Estatal,231,193,160,168,120,41,119,76,82,49,41,14,183
Buenos Aires,Privado,100,97,88,78,93,0,1,4,7,3,4,0,107
Buenos Aires,Estatal,17,16,15,11,2,0,2,2,5,2,1,0,6
Buenos Aires,Estatal,146,137,113,108,70,23,69,84,45,26,38,6,114
Buenos Aires,Estatal,2442,2137,1857,1570,1318,169,1057,732,896,546,798,128,1810
Buenos Aires,Privado,1364,1178,1047,1112,978,23,214,151,167,88,395,16,1403
Buenos Aires,Estatal,812,634,548,478,438,59,483,239,219,132,92,22,511
Buenos Aires,Privado,217,199,175,151,157,0,19,17,22,5,40,0,204
Buenos Aires,Estatal,39,31,26,15,17,0,4,5,1,2,2,0,23
Buenos Aires,Estatal,175,163,152,131,87,18,109,61,85,35,74,11,128
Buenos Aires,Privado,42,40,51,56,31,0,5,7,7,1,20,0,49
Buenos Aires,Estatal,29,28,16,14,18,0,7,5,9,3,7,0,22
Buenos Aires,Estatal,257,240,191,211,162,18,98,75,33,28,64,0,245
Buenos Aires,Privado,100,86,71,66,69,0,19,15,4,2,12,0,103
Buenos Aires,Estatal,53,56,50,37,43,3,10,10,2,3,3,1,48
Buenos Aires,Estatal,296,280,213,162,141,29,44,31,49,33,36,18,212
Buenos Aires,Privado,63,57,48,58,57,0,1,1,1,1,3,0,87
Buenos Aires,Estatal,68,47,51,38,31,4,34,17,14,9,8,0,48
Buenos Aires,Estatal,638,523,435,338,264,10,317,201,212,109,75,51,399
Buenos Aires,Privado,163,168,150,107,94,0,25,6,16,14,36,0,145
Buenos Aires,Estatal,37,32,25,24,25,15,27,10,9,9,13,7,63
Buenos Aires,Estatal,770,704,620,516,487,58,408,333,277,177,184,14,719
Buenos Aires,Privado,255,237,203,204,222,0,8,5,11,9,9,0,271
Buenos Aires,Estatal,3,2,7,4,1,0,2,1,2,2,0,0,6
Buenos Aires,Estatal,129,108,113,92,74,3,40,29,44,12,41,2,103
Buenos Aires,Estatal,38,43,26,28,22,0,16,6,9,7,9,0,28
Buenos Aires,Estatal,163,131,111,122,131,7,64,65,49,27,14,0,136
Buenos Aires,Estatal,25,33,21,22,15,0,3,10,2,1,4,0,19
Buenos Aires,Estatal,79,56,56,44,42,3,40,16,24,4,5,0,59
Buenos Aires,Estatal,16,6,8,8,6,0,3,0,0,1,0,0,6
Buenos Aires,Estatal,190,140,134,116,95,5,47,29,20,12,5,1,135
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,86,60,60,52,42,0,9,25,12,1,31,0,59
Buenos Aires,Estatal,22,21,11,12,11,0,4,1,2,0,0,0,11
Buenos Aires,Estatal,484,447,348,373,329,21,80,41,48,21,29,6,366
Buenos Aires,Privado,68,52,57,61,50,0,9,3,1,3,2,0,65
Buenos Aires,Estatal,337,260,220,210,161,68,93,97,98,34,67,5,233
Buenos Aires,Privado,129,118,125,116,101,0,11,3,8,6,35,0,113
Buenos Aires,Estatal,15,17,18,19,8,0,6,3,3,0,1,10,11
Buenos Aires,Estatal,476,484,403,294,275,22,187,128,102,41,48,8,350
Buenos Aires,Privado,160,151,128,147,144,0,4,5,2,7,5,0,188
Buenos Aires,Estatal,15,3,6,7,13,0,4,3,1,2,0,0,13
Buenos Aires,Estatal,166,151,133,125,112,6,54,46,45,15,8,0,121
Buenos Aires,Privado,113,104,92,65,79,0,7,16,9,0,9,0,90
Buenos Aires,Estatal,41,33,19,28,30,14,19,3,3,4,2,0,47
Buenos Aires,Estatal,549,513,410,420,345,39,156,90,94,87,112,20,420
Buenos Aires,Privado,131,117,122,102,111,51,14,3,4,6,11,0,175
Buenos Aires,Estatal,26,18,14,17,11,0,3,5,3,1,8,0,18
Buenos Aires,Estatal,76,67,44,51,47,17,16,22,17,3,5,1,66
Buenos Aires,Privado,31,42,48,45,46,14,1,2,8,2,0,0,67
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,132,139,88,87,104,22,17,18,17,13,12,0,120
Buenos Aires,Estatal,20,23,26,23,27,0,13,8,8,2,4,0,33
Buenos Aires,Estatal,354,269,236,225,209,21,82,78,46,16,37,1,249
Buenos Aires,Privado,87,86,65,82,61,0,11,4,3,1,1,0,96
Buenos Aires,Estatal,28,33,17,18,28,0,3,7,4,6,4,0,29
Buenos Aires,Estatal,119,83,71,93,71,18,24,21,21,4,30,0,113
Buenos Aires,Estatal,10,8,3,9,2,10,5,0,8,1,0,0,16
Buenos Aires,Estatal,223,197,204,201,145,7,54,47,56,30,61,0,222
Buenos Aires,Estatal,55,60,30,27,16,0,29,27,18,6,7,0,20
Buenos Aires,Estatal,79,97,95,82,87,0,47,19,18,9,17,0,125
Buenos Aires,Privado,512,450,396,369,332,58,130,74,64,36,122,14,527
Buenos Aires,Privado,1244,1142,938,975,817,10,103,77,92,43,166,1,1184
Buenos Aires,Estatal,295,259,178,151,143,38,172,127,111,59,26,17,238
Buenos Aires,Privado,110,73,73,61,64,21,23,23,9,11,26,1,119
Buenos Aires,Estatal,1762,1476,1337,1230,1090,422,785,583,463,292,345,21,1514
Buenos Aires,Privado,858,834,658,628,531,2,187,151,147,71,230,5,928
Buenos Aires,Estatal,2411,1962,1716,1472,1003,7,1313,860,962,650,679,14,1609
Buenos Aires,Privado,892,777,799,682,601,15,99,72,54,26,222,1,851
Buenos Aires,Estatal,47,50,65,52,40,2,23,20,21,7,8,0,69
Buenos Aires,Estatal,141,112,87,68,89,10,104,59,67,28,31,3,114
Buenos Aires,Privado,77,89,110,90,62,0,39,34,31,12,38,0,99
Buenos Aires,Estatal,1447,1226,1002,1009,704,54,675,422,497,260,419,5,1002
Buenos Aires,Privado,590,562,489,433,326,45,84,51,60,28,139,1,447
Buenos Aires,Estatal,89,64,69,38,35,3,50,50,31,15,20,5,54
