provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Privado,8,7,9,15,2,0,6,6,6,6,6,0
Buenos Aires,Estatal,0,1,0,0,0,0,3,3,3,2,2,0
Buenos Aires,Estatal,39,18,26,16,14,2,11,10,11,11,11,3
Buenos Aires,Estatal,3,2,4,2,0,0,2,2,1,1,1,1
Buenos Aires,Estatal,41,19,27,21,3,0,15,14,16,15,15,2
Buenos Aires,Estatal,15,8,7,3,2,0,4,4,4,3,3,0
Buenos Aires,Estatal,40,30,26,12,4,0,9,8,11,9,8,0
Buenos Aires,Privado,68,48,32,37,33,1,35,35,34,34,34,9
Buenos Aires,Privado,77,86,72,47,38,0,70,67,64,60,60,2
Buenos Aires,Estatal,116,88,80,51,30,8,41,32,30,28,25,6
Buenos Aires,Privado,9,15,14,19,7,0,7,7,7,7,7,2
Buenos Aires,Estatal,688,561,378,264,141,23,128,117,109,98,90,21
Buenos Aires,Privado,106,105,104,79,85,4,64,61,53,47,47,1
Buenos Aires,Estatal,930,648,620,369,230,0,154,138,141,128,106,2
Buenos Aires,Privado,60,63,62,74,42,0,54,51,45,45,41,1
Buenos Aires,Estatal,11,14,18,5,5,1,6,6,5,5,5,1
Buenos Aires,Estatal,86,58,52,27,13,0,11,11,9,8,8,2
Buenos Aires,Privado,17,4,12,5,1,0,8,8,7,6,6,0
Buenos Aires,Estatal,541,394,368,184,85,3,92,89,74,72,62,4
Buenos Aires,Privado,29,23,31,27,29,0,32,30,24,23,22,2
Buenos Aires,Estatal,34,31,20,9,1,3,5,5,3,3,3,1
Buenos Aires,Estatal,1187,892,804,426,208,0,213,195,184,167,149,10
Buenos Aires,Privado,117,133,118,105,76,0,66,63,59,56,58,2
Buenos Aires,Estatal,2,2,2,1,0,0,2,2,2,1,1,1
Buenos Aires,Estatal,11,9,7,5,2,0,6,4,4,4,4,0
Buenos Aires,Estatal,5,4,1,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,96,63,57,21,25,6,16,16,16,15,13,5
Buenos Aires,Privado,29,13,21,16,9,0,11,11,10,10,9,0
Buenos Aires,Estatal,1,4,1,1,0,0,2,2,1,1,1,0
Buenos Aires,Estatal,17,19,25,20,16,0,4,5,5,5,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,21,15,8,9,4,0,7,7,8,5,5,0
Buenos Aires,Privado,2,6,3,4,5,0,3,3,3,3,3,0
Buenos Aires,Estatal,2,4,3,1,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,54,30,33,17,4,2,9,9,9,8,7,1
Buenos Aires,Estatal,3,2,4,1,2,0,3,3,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,74,49,55,38,19,0,16,15,16,15,14,3
Buenos Aires,Privado,2,4,0,0,0,0,3,3,4,4,2,0
Buenos Aires,Estatal,6,8,2,1,3,0,2,2,3,3,3,1
Buenos Aires,Estatal,20,16,11,11,1,0,8,8,10,8,7,1
Buenos Aires,Estatal,2,1,3,3,5,0,2,2,1,1,1,0
Buenos Aires,Estatal,27,35,22,12,0,0,9,8,8,7,7,2
Buenos Aires,Estatal,20,20,17,8,7,0,5,6,5,4,4,0
Buenos Aires,Estatal,11,2,4,3,6,0,2,2,2,2,2,0
Buenos Aires,Estatal,37,25,22,38,18,0,9,6,6,6,6,1
Buenos Aires,Estatal,6,5,3,4,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,7,11,7,5,5,0,8,6,5,5,5,1
Buenos Aires,Estatal,59,43,30,17,9,0,12,10,9,9,7,0
Buenos Aires,Estatal,1213,840,671,386,200,0,252,239,239,215,199,25
Buenos Aires,Privado,140,154,143,130,107,0,134,129,125,122,118,2
Buenos Aires,Estatal,3,7,0,0,0,0,4,4,1,1,1,0
Buenos Aires,Estatal,367,243,174,111,29,0,55,43,36,30,27,0
Buenos Aires,Privado,51,43,24,39,27,0,17,17,16,15,14,0
Buenos Aires,Estatal,683,470,418,260,185,16,137,124,128,114,106,12
Buenos Aires,Privado,155,175,144,125,130,0,92,92,87,85,82,7
Buenos Aires,Estatal,3,5,1,3,1,1,1,1,1,1,1,1
Buenos Aires,Estatal,17,19,11,2,0,0,11,8,8,8,8,3
Buenos Aires,Estatal,12,18,15,13,9,2,5,5,5,4,4,1
Buenos Aires,Estatal,80,64,40,33,13,1,15,14,13,10,10,1
Buenos Aires,Estatal,4,8,7,9,3,0,4,4,4,4,4,1
Buenos Aires,Estatal,10,16,6,9,1,0,5,6,7,7,5,0
Buenos Aires,Estatal,8,2,1,0,0,0,1,1,1,1,1,1
Buenos Aires,Estatal,27,19,13,3,3,0,5,4,4,4,3,0
Buenos Aires,Estatal,283,214,222,138,109,8,80,73,84,70,63,8
Buenos Aires,Privado,31,54,46,29,18,2,34,34,29,30,30,3
Buenos Aires,Estatal,342,263,241,206,110,5,68,61,68,61,54,4
Buenos Aires,Privado,53,39,48,33,35,0,38,38,37,34,34,2
Buenos Aires,Estatal,759,490,417,274,67,2,142,123,112,102,91,8
Buenos Aires,Privado,98,78,68,51,34,0,44,43,38,37,37,0
Buenos Aires,Estatal,4,7,4,3,3,0,3,3,2,2,5,0
Buenos Aires,Estatal,239,151,160,86,44,0,50,42,42,39,39,7
Buenos Aires,Privado,5,4,3,1,4,0,13,13,12,12,12,0
Buenos Aires,Estatal,237,163,204,110,55,9,56,48,50,45,42,6
Buenos Aires,Privado,11,13,11,13,10,0,10,10,10,9,8,0
Buenos Aires,Estatal,3155,2236,1918,1428,793,18,741,670,682,627,574,31
Buenos Aires,Privado,399,368,422,354,295,7,255,248,233,224,217,8
Buenos Aires,Estatal,11,5,5,4,2,0,2,2,2,2,2,0
Buenos Aires,Estatal,1333,903,790,499,384,18,325,279,293,263,253,41
Buenos Aires,Privado,160,123,149,88,79,0,132,126,109,105,103,3
Buenos Aires,Estatal,955,700,674,438,191,22,195,185,190,178,162,24
Buenos Aires,Privado,137,136,157,123,100,3,91,87,82,78,78,2
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,1,0
Buenos Aires,Estatal,65,26,15,6,2,1,10,8,8,7,5,2
Buenos Aires,Estatal,13,26,7,1,1,1,3,2,2,2,2,2
Buenos Aires,Estatal,75,36,27,9,2,0,13,11,10,10,10,2
Buenos Aires,Privado,3,3,4,3,4,0,3,3,3,3,3,0
Buenos Aires,Estatal,2,3,4,1,1,0,1,2,1,1,1,0
Buenos Aires,Estatal,48,26,25,11,17,0,12,12,11,9,9,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,14,8,13,6,1,0,5,5,5,5,5,1
Buenos Aires,Estatal,70,84,61,39,8,1,16,14,14,11,9,3
Buenos Aires,Privado,18,12,10,7,4,0,8,8,8,8,8,0
Buenos Aires,Estatal,23,28,11,7,5,0,5,6,5,5,6,1
Buenos Aires,Estatal,37,36,20,17,2,2,8,8,8,8,8,2
Buenos Aires,Estatal,20,11,7,3,3,2,6,6,3,3,5,2
Buenos Aires,Estatal,116,88,80,49,30,1,16,15,14,13,12,1
